Date,NTPC,Tata Power,Adani Power,Reliance,Power Grid
2020-01-01,94.73125457763672,53.60771179199219,12.779999732971191,675.3241577148438,76.68424224853516
2020-01-02,94.61433410644531,53.97998809814453,12.890000343322754,686.8212280273438,76.52731323242188
2020-01-03,93.01667022705078,53.747314453125,12.649999618530273,687.6488647460938,75.70362854003906
2020-01-06,92.66596221923828,52.81662368774414,12.020000457763672,671.70068359375,75.7428207397461
2020-01-07,93.95188903808594,52.677024841308594,12.199999809265137,682.0345458984375,75.1937026977539
2020-01-08,93.48426818847656,52.351287841796875,11.970000267028809,676.9124145507812,74.74259948730469
2020-01-09,93.01667022705078,53.793853759765625,12.229999542236328,692.5025634765625,75.68399047851562
2020-01-10,93.7570571899414,54.86415100097656,12.239999771118164,692.3460693359375,75.37019348144531
2020-01-13,94.88711547851562,55.282955169677734,12.460000038146973,690.5789794921875,76.40965270996094
2020-01-14,96.25099182128906,56.02750778198242,12.489999771118164,684.181884765625,76.5861587524414
2020-01-15,96.52376556396484,56.67899703979492,12.65999984741211,681.6990356445312,76.19392395019531
2020-01-16,94.65331268310547,56.77206039428711,12.989999771118164,687.9843139648438,77.05684661865234
2020-01-17,94.4584732055664,57.283939361572266,12.920000076293945,707.2652587890625,77.42949676513672
2020-01-20,92.15936279296875,56.07404327392578,12.670000076293945,685.5015258789062,80.27326202392578
2020-01-21,91.30207061767578,55.42256164550781,12.550000190734863,686.1950073242188,78.68467712402344
2020-01-22,87.40526580810547,55.05028533935547,12.5,685.9488525390625,78.46894836425781
2020-01-23,88.45740509033203,55.98097610473633,12.670000076293945,683.0411376953125,79.21420288085938
2020-01-24,89.43161010742188,56.958194732666016,12.710000038146973,680.670166015625,77.25296783447266
2020-01-27,88.18463134765625,56.49285125732422,12.9399995803833,673.9598388671875,75.70362854003906
2020-01-28,87.32732391357422,56.539390563964844,12.760000228881836,658.3919067382812,74.70337677001953
2020-01-29,88.22358703613281,56.67899703979492,12.8100004196167,662.0154418945312,75.46826171875
2020-01-30,88.5743179321289,56.12057876586914,12.539999961853027,645.8660278320312,76.25274658203125
2020-01-31,87.95081329345703,54.07305908203125,12.210000038146973,631.5060424804688,73.29129028320312
2020-02-03,85.92448425292969,51.094852447509766,11.800000190734863,619.8076782226562,73.4874038696289
2020-02-04,87.28836059570312,52.49088668823242,12.09000015258789,638.1044921875,76.2331314086914
2020-02-05,86.66488647460938,53.23543930053711,12.399999618530273,647.990966796875,74.27189636230469
2020-02-06,87.28836059570312,53.70078659057617,12.15999984741211,652.1513671875,75.66437530517578
