Date,NTPC,Tata Power,Adani Power,Reliance,Power Grid,Delhi,Mumbai,Chennai,Kolkata,Hyderabad,avg_temp,CDD,heat_shock,NTPC_return,Tata Power_return,Adani Power_return,Reliance_return,Power Grid_return,NTPC_volatility,Tata Power_volatility,Adani Power_volatility,Reliance_volatility,Power Grid_volatility
2020-01-01,94.73125457763672,53.60771179199219,12.779999732971191,675.3241577148438,76.68424224853516,17.7,25.9,26.9,24.95,26.7,24.43,6.43,False,,,,,,,,,,
2020-01-02,94.61433410644533,53.97998809814453,12.890000343322754,686.8212280273438,76.52731323242188,19.45,26.65,27.3,25.6,26.65,25.130000000000003,7.130000000000003,False,-0.12342333236552427,0.6944454327706406,0.8607246686224146,1.7024521011366867,-0.20464310725620827,,,,,
2020-01-03,93.01667022705078,53.747314453125,12.649999618530272,687.6488647460938,75.70362854003906,18.95,26.45,28.7,21.2,27.25,24.509999999999998,6.509999999999998,False,-1.6886065885081458,-0.43103685869010366,-1.8619140294810488,0.12050249540584979,-1.0763277287433204,,,,,
2020-01-06,92.66596221923828,52.81662368774414,12.020000457763672,671.70068359375,75.7428207397461,17.05,30.6,26.85,22.3,25.9,24.54,6.539999999999999,False,-0.37703780081186355,-1.7316042203235127,-4.980230670076457,-2.319233255512232,0.05177056960525839,,,,,
2020-01-07,93.95188903808594,52.677024841308594,12.199999809265137,682.0345458984375,75.1937026977539,17.75,27.95,27.9,22.8,27.2,24.72,6.719999999999999,False,1.3877013609433941,-0.26430853903283147,1.497498707541256,1.5384623772301431,-0.7249770164739044,,,,,
2020-01-08,93.48426818847656,52.35128784179688,11.970000267028809,676.9124145507812,74.74259948730469,15.3,27.35,27.75,23.95,28.85,24.640000000000004,6.640000000000004,False,-0.49772373328205166,-0.6183663570465625,-1.8852421789519846,-0.7510076107521635,-0.5999215283525205,,,,,
2020-01-09,93.01667022705078,53.793853759765625,12.229999542236328,692.5025634765625,75.68399047851562,15.95,27.6,27.45,22.85,27.7,24.31,6.309999999999999,False,-0.5001889307011953,2.7555500111632547,2.1720908054086108,2.3031264592964007,1.2595106373987308,,,,,
2020-01-10,93.7570571899414,54.86415100097656,12.239999771118164,692.3460693359375,75.37019348144531,16.6,30.75,27.85,23.15,26.45,24.96,6.960000000000001,False,0.7959723360160709,1.9896273763740924,0.0817680233535567,-0.022598348205293828,-0.41461476210004067,0.9934942096639394,1.5732901527839565,2.4870391666696126,1.6115561346523266,0.7560281183816826
2020-01-13,94.88711547851562,55.28295516967773,12.460000038146973,690.5789794921875,76.40965270996094,20.6,27.65,27.55,22.4,28.65,25.369999999999997,7.369999999999997,False,1.2053047764552183,0.7633475795400635,1.7973878361331908,-0.25523216235557866,1.3791383310851169,1.1171679807384018,1.5760754620793198,2.6005747696901884,1.5077813844522958,0.9750817783954594
2020-01-14,96.25099182128906,56.02750778198242,12.489999771118164,684.181884765625,76.5861587524414,18.25,26.75,27.2,24.0,28.8,25.0,7.0,False,1.4373672715156438,1.3468032054716916,0.24076832166408657,-0.9263378869809435,0.23099966590669485,0.9143680805171914,1.5721238770231813,2.5313761362683453,1.5551584801176497,0.8565703095138946
